1,1,1,1,2,"Tipo de registro","1","1"
2,2,9,8,2,"Fecha del comprobante","str(self.pedestal.year) + str(self.pedestal.month).zfill(2)","None"
3,10,11,2,2,"Tipo de comprobante","self.obj.tipocbte.cod","None"
4,12,12,1,1,"Controlador Fiscal","'N'","None"
5,13,16,4,2,"Punto de venta","self.obj.punto_vta","None"
6,17,24,8,2,"N° de comprobante","self.numero(self.obj.cbte_nro)","None"
7,25,32,8,2,"N° de comprobante registrado","self.numero(self.obj.cbte_nro)","None"
8,33,35,3,2,"Cantidad de hojas","0","None"
9,36,37,2,2,"Código de documento identificatorio del comprador","self.obj.tipodoc.cod","None"
10,38,48,11,2,"N° de identificación del comprador","str(self.obj.nro_doc).replace('-', '')","None"
11,49,78,30,3,"Apellido y nombre o denominación del comprador","self.texto(self.obj.nombre_cliente)","None"
12,79,93,15,2,"Importe total de la operación","self.importe(self.obj.imp_total)","None"
13,94,108,15,2,"Importe total de conceptos que no integran el precio neto gravado","self.importe(self.obj.imp_tot_conc)","None"
14,109,123,15,2,"Importe neto gravado","self.importe(self.obj.imp_neto)","None"
15,124,138,15,2,"Impuesto liquidado","self.importe(self.obj.impto_liq)","None"
16,139,153,15,2,"Impuesto liquidado a RNI o percepción a no categorizados","self.importe(self.obj.impto_liq_rni)","None"
17,154,168,15,2,"Importe de operaciones exentas","self.importe(self.obj.imp_op_ex)","None"
18,169,183,15,2,"Importe de percepciones o pagos a cuenta de impuestos nacionales","self.importe(self.obj.imp_nac)","None"
19,184,198,15,2,"Importe de percepción de Ingresos Brutos","self.importe(self.obj.imp_iibb)","None"
20,199,213,15,2,"Importe de percepción por Impuestos Municipales","self.importe(self.obj.impto_perc_mun)","None"
21,214,228,15,2,"Importe de Impuestos Internos","self.importe(self.obj.imp_internos)","None"
22,229,243,15,2,"Transporte","0","None"
23,244,245,2,2,"Tipo de responsable","self.numero(self.obj.condicioniva_cliente)","None"
24,246,248,3,3,"Códigos de moneda","self.obj.moneda_id.cod","None"
25,249,258,10,2,"Tipo de cambio","self.importe(self.obj.moneda_ctz)","None"
26,259,259,1,2,"Cantidad de alícuotas de IVA","len(set([det.iva.id for det in db(db.detalle.comprobante == self.obj.id).select()]))","None"
27,260,260,1,1,"Código de operación","str()","None"
28,261,274,14,2,"CAI","self.cae(self.obj.cae)","None"
29,275,282,8,2,"Fecha de Vencimiento","self.fecha(self.obj.fecha_vto)","None"
30,283,290,8,3,"Fecha anulación del comprobante","self.fecha(self.obj.fecha_anulacion)","None"
