6189050,Faro,1,,
6189060,Irene,1,,
6189070,Oriente,1,,
6189080,"San Román",1,,
,,1,,
6196010,"Coronel Pringles (Est. Pringles)",1,,
6196020,"El Divisorio",1,,
6196030,"El Pensamiento",1,,
6196040,"Indio Rico",1,,
6196050,Lartigau,1,,
,,1,,
6203010,Cascadas,1,,
6203020,"Coronel Suárez",1,,
6203030,"Cura Malal",1,,
6203040,D'Orbigny,1,,
6203050,Huanguelén,1,,
6203060,Pasman,1,,
6203070,"San José",1,,
6203080,"Santa María",1,,
6203090,"Santa Trinidad",1,,
6203100,"Villa La Arcadia",1,,
,,1,,
6210010,Castilla,1,,
6210020,Chacabuco,1,,
6210030,"Los Angeles",1,,
6210040,O'Higgins,1,,
6210050,Rawson,1,,
,,1,,
6217010,Chascomús,1,,
6217010,,1,,
6217010,,1,,
6217020,"Manuel J. Cobo (Est. Lezama)",1,,
6217030,"Villa Parque Girado",1,,
,,1,,
6224010,Chivilcoy,1,,
6224020,"Emilio Ayarza",1,,
6224030,Gorostiaga,1,,
6224040,"La Rica",1,,
6224050,Moquehuá,1,,
6224060,"Ramón Biaus",1,,
6224070,"San Sebastián",1,,
,,1,,
6231010,Andant,1,,
6231020,Arboledas,1,,
6231030,Daireaux,1,,
6231040,"La Larga",1,,
6231050,"La Manuela",1,,
6231060,Salazar,1,,
,,1,,
6238010,Dolores,1,,
6238020,Sevigne,1,,
,,1,,
6245010,Ensenada,1,,
6245010,,1,,
6245010,,1,,
6245010,,1,,
6245010,,1,,
6245010,,1,,
,,1,,
6252010,Escobar,1,,
6252010,,1,,
6252010,,1,,
6252010,,1,,
6252010,,1,,
6252010,,1,,
6252010,,1,,
6252010,,1,,
6252020,"Puerto Paraná",1,,
,,1,,
6260010,"Esteban Echeverría",1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
6266010,"Arroyo de la Cruz",1,,
6266020,"Capilla del Señor (Est. Capilla)",1,,
6266030,"Diego Gaynor",1,,
6266040,"Los Cardales",1,,
6266050,"Parada Orlando",1,,
6266060,"Parada Robles - Pavón",1,,
6266060,,1,,
6266060,,1,,
6266060,,1,,
,,1,,
6270010,Ezeiza,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
6274010,"Florencio Varela",1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
6274020,"La Capilla",1,,
,,1,,
6277010,Blaquier,1,,
6277020,"Florentino Ameghino",1,,
6277030,Porvenir,1,,
,,1,,
6280010,"Comandante Nicanor Otamendi",1,,
6280020,"Mar del Sur",1,,
6280030,Mechongué,1,,
6280040,Miramar,1,,
,,1,,
6287010,"General Alvear",1,,
,,1,,
6294010,Arribeños,1,,
6294020,Ascensión,1,,
6294030,"Estación Arenales",1,,
6294040,Ferré,1,,
6294050,"General Arenales",1,,
6294060,"La Angelita",1,,
6294070,"La Trinidad",1,,
,,1,,
6301010,"General Belgrano",1,,
6301020,Gorchs,1,,
,,1,,
6308010,"General Guido",1,,
6308020,Labardén,1,,
,,1,,
6315010,"General Juan Madariaga",1,,
6315010,,1,,
6315010,,1,,
,,1,,
6322010,"General La Madrid",1,,
6322020,"La Colina",1,,
6322030,"Las Martinetas",1,,
6322040,Líbano,1,,
6322050,Pontaut,1,,
,,1,,
6329010,"General Hornos",1,,
6329020,"General Las Heras (Est. Las Heras)",1,,
6329030,"La Choza",1,,
6329040,Lozano,1,,
6329050,Plomer,1,,
6329060,Villars,1,,
,,1,,
6336010,"Chacras de San Clemente",1,,
6336020,"General Lavalle",1,,
6336030,Pavón,1,,
,,1,,
6343010,"Barrio Río Salado",1,,
6343020,"Loma Verde",1,,
6343030,Ranchos,1,,
6343040,"Villanueva  (Ap. Río Salado)",1,,
,,1,,
6351010,"Colonia San Ricardo (Est. Iriarte)",1,,
6351020,"General Pinto",1,,
6351030,"Germania (Est. Mayor José Orellano)",1,,
6351040,"Villa Francia (Est. Coronel Granada)",1,,
6351050,"Villa Roth (Est. Ingeniero Balbín)",1,,
,,1,,
6357010,"Barrio Colinas Verdes",1,,
6357020,"Barrio El Boquerón",1,,
6357030,"Barrio El Casal",1,,
6357040,"Barrio El Coyunco",1,,
6357050,"Barrio La Gloria",1,,
6357060,"Barrio Santa Paula",1,,
6357070,Batán,1,,
6357080,Chapadmalal,1,,
6357090,"El Marquesado",1,,
6357100,"Estación Chapadmalal",1,,
6357110,"Mar del Plata",1,,
6357110,,1,,
6357110,,1,,
6357110,,1,,
6357110,,1,,
6357120,"Sierra de los Padres",1,,
,,1,,
6364010,"Barrio Ruta 24 Kilómetro 10",1,,
6364020,"Country Club Bosque Real - Barrio Morabo",1,,
6364030,"General Rodríguez",1,,
,,1,,
6371010,"General San Martín",1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
6385010,Baigorrita,1,,
6385020,"La Delfina",1,,
6385030,"Los Toldos",1,,
6385040,"San Emilio",1,,
6385050,Zavalía,1,,
,,1,,
6392010,Banderalo,1,,
6392020,"Cañada Seca",1,,
6392030,"Coronel Charlone",1,,
6392040,"Emilio V. Bunge",1,,
6392050,"General Villegas (Est. Villegas)",1,,
6392060,"Massey (Est. Elordi)",1,,
6392070,Pichincha,1,,
6392080,Piedritas,1,,
6392090,"Santa Eleodora",1,,
6392100,"Santa Regina",1,,
6392110,"Villa Saboya",1,,
6392120,"Villa Sauze",1,,
,,1,,
6399010,"Arroyo Venado",1,,
6399020,Casbas,1,,
6399030,Garré,1,,
6399040,Guaminí,1,,
6399050,"Laguna Alsina (Est. Bonifacio)",1,,
,,1,,
6406010,Henderson,1,,
6406020,"Herrera Vegas",1,,
,,1,,
6408010,Hurlingham,1,,
,,1,,
,,1,,
,,1,,
,,1,,
6410010,Ituzaingó,1,,
,,1,,
,,1,,
,,1,,
,,1,,
641210,"José C. Paz",1,,
,,1,,
,,1,,
,,1,,
,,1,,
6413010,"Agustín Roca",1,,
6413020,Agustina,1,,
6413030,"Balneario Laguna de Gómez",1,,
6413040,"Fortín Tiburcio",1,,
6413050,Junín,1,,
6413060,Laplacette,1,,
6413070,Morse,1,,
6413080,Saforcada,1,,
,,1,,
6420010,"Las Toninas",1,,
6420020,"Mar de Ajó - San Bernardo",1,,
6420020,,1,,
6420020,,1,,
6420020,,1,,
6420020,,1,,
6420020,,1,,
6420030,"San Clemente del Tuyú",1,,
6420040,"Santa Teresita - Mar del Tuyú",1,,
6420040,,1,,
6420040,,1,,
,,1,,
6427010,"La Matanza",1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
6434010,Lanús,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
6441010,"Country Club El Rodeo",1,,
6441020,"Ignacio Correas",1,,
6441030,"La Plata",1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441030,,1,,
6441040,"Lomas de Copello",1,,
6441050,"Ruta Sol",1,,
,,1,,
6448010,Laprida,1,,
6448020,"Pueblo Nuevo",1,,
6448030,"Pueblo San Jorge",1,,
,,1,,
6455010,"Coronel Boerr",1,,
6455020,"El Trigo",1,,
6455030,"Las Flores",1,,
6455040,Pardo,1,,
,,1,,
6462010,"Alberdi Viejo",1,,
6462020,"El Dorado",1,,
6462030,"Fortín Acha",1,,
6462040,"Juan Bautista Alberdi (Est. Alberdi)",1,,
6462050,"Leandro N. Alem",1,,
6462060,Vedia,1,,
,,1,,
6469010,Arenaza,1,,
6469020,Bayauca,1,,
6469030,Bermúdez,1,,
6469040,"Carlos Salas",1,,
6469050,"Coronel Martínez de Hoz (Ap. Kilómetro 322)",1,,
6469060,"El Triunfo",1,,
6469070,"Las Toscas",1,,
6469080,Lincoln,1,,
6469090,Pasteur,1,,
6469100,Roberts,1,,
,,1,,
6476010,"Arenas Verdes",1,,
6476020,"Licenciado Matienzo",1,,
6476030,Lobería,1,,
6476040,Pieres,1,,
6476050,"San Manuel",1,,
6476060,Tamangueyú,1,,
,,1,,
6483010,"Antonio Carboni",1,,
6483020,Elvira,1,,
6483030,"Laguna de Lobos",1,,
6483040,Lobos,1,,
6483050,"Salvador María",1,,
,,1,,
6490010,"Lomas de Zamora",1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
6497010,"Barrio Las Casuarinas",1,,
6497020,"Carlos Keen",1,,
6497030,Cortines,1,,
6497040,"José María Jauregui (Est. Jáuregui)",1,,
6497040,,1,,
6497040,,1,,
6497050,"Lezica y Torrezuri",1,,
6497060,Luján,1,,
6497070,Olivera,1,,
6497080,"Open Door (Est. Dr. Domingo Cabred)",1,,
6497080,,1,,
6497080,,1,,
6497090,Torres,1,,
,,1,,
6505010,Atalaya,1,,
6505020,"General Mansilla (Est. Bartolomé Bavio)",1,,
6505030,"Los Naranjos",1,,
6505040,Magdalena,1,,
6505050,"Roberto J. Payró",1,,
6505060,Vieytes,1,,
,,1,,
6511010,"Las Armas",1,,
6511020,Maipú,1,,
6511030,"Santo Domingo",1,,
,,1,,
6515010,"Malvinas Argentinas",1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
6518010,"Coronel Vidal",1,,
